va_code,code,name
"ARI","100","Sin alerta."
"ARI","3001","El cliente o usuario paga u ofrece pagar en efectivo, y por adelantado, las rentas correspondientes a un periodo largo de tiempo sin justificación lógica para ello."
"ARI","3002","El cliente o usuario paga por adelantado las rentas de un periodo largo de tiempo en efectivo y posteriormente pide la cancelación del contrato y solicita el reembolso del monto pagado por medio de otro instrumento monetario diferente al efectivo."
"ARI","3003","El cliente o usuario se niega a dar información sobre el uso que se dará al inmueble por arrendar."
"ARI","3004","Hay indicios, o certeza, de que el inmueble arrendado no está siendo utilizado para el propósito expresado por el cliente o usuario, sino para posibles actividades ilícitas."
"ARI","3005","El cliente o usuario se rehúsa a proporcionar documentos personales que lo identifiquen."
"ARI","3006","El pago de las rentas del inmueble es realizado por un tercero sin relación aparente con el cliente o usuario."
"ARI","3007","El cliente o usuario o personas relacionadas con él, realizan múltiples operaciones de arrendamiento con el mismo Sujeto Obligado, en un periodo muy corto de tiempo y sin razón aparente."
"ARI","3008","El cliente o usuario no muestra tener interés en las características del inmueble objeto de arrendamiento, o en el monto de la renta y condiciones del contrato."
"ARI","3009","De acuerdo con medios informativos u otras fuentes de información pública, se tiene conocimiento o sospecha de que el cliente, un familiar o persona relacionada, está vinculado con actividades ilícitas o se encuentra bajo proceso de investigación."
"ARI","3010","El cliente o usuario no quiere ser relacionado con la operación de arrendamiento."
"ARI","3011","La operación no es acorde con la actividad económica o giro mercantil declarado por el cliente o usuario."
"ARI","3012","El cliente o usuario ofrece pagar un monto de arrendamiento superior al solicitado con la finalidad de que la operación se realice fuera de los parámetros establecidos."
"ARI","3013","Hay indicios, o certeza, que las partes no están actuando en nombre propio y están tratando de ocultar la identidad del cliente o usuario real."
"ARI","3014","El cliente o usuario realiza pagos mediante el uso de divisas en efectivo sin justificación alguna."
"ARI","3015","El cliente o usuario realiza pagos  por medio de transferencia (s) proveniente(s) de un país extranjero."
"ARI","3016","El cliente o usuario insiste en liquidar o pagar la operación en efectivo rebasando el umbral permitido en la Ley."
"ARI","3017","El cliente o usuario intenta sobornar, extorsionar o amenaza al intermediario o dueño del inmueble con el fin de realizar la operación fuera de los parámetros establecidos, o con la finalidad de evitar el envío del Aviso."
"ARI","3018","La información y documentación presentada por el cliente o usuario es inconsistente o de difícil verificación por parte del Sujeto Obligado."
"ARI","3019","El cliente o usuario realiza los pagos con cheques de caja, sin causa que lo justifique."
"ARI","3020","Se tiene sospecha de que el inmueble es utilizado como centro que brinda ayuda a la comunidad o grupos vulnerables que pudieran estar vinculados con actividades u organizaciones delictivas."
"ARI","3021","El cliente o usuario es una persona moral que cambia constantemente de razón social o de representante legal."
"ARI","3022","Un mismo representante legal solicita arrendamiento a nombre de distintas personas (físicas o morales) que no pertenecen al mismo grupo."
"ARI","3023","El cliente o usuario pretende liquidar o pagar la operación con monedas virtuales."
"ARI","3024","El cliente o usuario, su representante o personas ajenas a estos, intenta(n) sobornar o amenazar al Sujeto Obligado o al intermediario para que se agregue una cláusula de subarrendamiento al contrato, sin justificación lógica."
"ARI","9999","Otra alerta."
"AVI","100","Sin alerta."
"AVI","4101","Rápido movimiento de recursos sin justificación aparente."
"AVI","4102","Poca permanencia de los recursos en la plataforma sin justificación aparente."
"AVI","4103","Compra y venta de activos virtuales sin importar pérdidas o ganancias."
"AVI","4104","Cuentas inactivas por largo periodo de tiempo que empiezan a operar altos volúmenes de forma repentina sin justificación aparente."
"AVI","4105","Los datos proporcionados por el cliente no coinciden con los datos de los documentos de identificación."
"AVI","4106","Cambios repentinos en el perfil transaccional del cliente sin aparente justificación."
"AVI","4107","El nombre del cliente se encuentra en listas negras emitidas por organismos nacionales o internacionales  (ONU, OFAC)."
"AVI","4108","El cliente se niega a entregar documentación que lo identifique."
"AVI","4109","El cliente actúa a nombre de un tercero sin haberlo declarado previamente."
"AVI","4110","Ingresos no acorde al perfil transaccional o a la actividad económica del cliente."
"AVI","4111","Inactividad en la cuenta tras grandes volúmenes de operación sin justificación aparente."
"AVI","4112","El cliente envía o recibe recursos de una cuenta en algún país de alto riesgo."
"AVI","4113","El cliente no puede justificar el origen de los recursos o es diferente al declarado al inicio de la relación comercial."
"AVI","4114","Hay indicios de que los recursos pudieran provenir de una actividad Ilícita (Ej. noticias, relación con persona sentenciada con actividades ilícitas,etc.)."
"AVI","4115","El cliente es identificado con múltiples cuentas con perfiles de operación similares sin aparente justificación."
